abbreviateDyeName                    prod=6    tests=12   other=5   | prod: packages/core/src/index.ts packages/core/src/utils/index.ts | other: apps/discord-worker/src/handlers/commands/comparison.test.ts packages/bot-logic/src/commands/comparison.ts packages/bot-logic/src/commands/contrast.ts packages/svg/CLAUDE.md packages/svg/README.md 
getFacewearColorByLegacyItemID       prod=2    tests=5    other=6   | prod: packages/core/src/config/facewear.ts packages/core/src/index.ts | other: CLAUDE.md apps/api-worker/CLAUDE.md apps/api-worker/src/routes/dyes.ts docs/index.md docs/projects/api-worker/overview.md 
getLearnLink                         prod=2    tests=14   other=3   | prod: packages/core/src/config/learn-links.ts packages/core/src/index.ts | other: apps/discord-worker/src/handlers/commands/manual.ts apps/web-app/src/components/__tests__/metric-help.test.ts apps/web-app/src/components/metric-help.ts 
getLodestoneLink                     prod=2    tests=2    other=1   | prod: packages/core/src/config/learn-links.ts packages/core/src/index.ts | other: apps/discord-worker/src/handlers/commands/manual.ts 
getMarketItemID                      prod=2    tests=9    other=20  | prod: packages/core/src/config/consolidated-ids.ts packages/core/src/index.ts | other: apps/api-worker/src/lib/dye-serializer.ts apps/discord-worker/src/services/budget/budget-calculator.ts apps/discord-worker/src/services/budget/consolidation-fanout.test.ts apps/web-app/src/components/__tests__/v4/locale-switch.test.ts apps/web-app/src/components/__tests__/v4/result-card.test.ts 
HarmonyColorSpace                    prod=4    tests=0    other=2   | prod: packages/core/src/index.ts packages/core/src/services/dye/HarmonyGenerator.ts | other: apps/discord-worker/src/handlers/commands/harmony.ts docs/research/discord-alternatives/06d-bot-logic.md 
HarmonyGenerator                     prod=6    tests=5    other=20  | prod: packages/core/src/index.ts packages/core/src/services/dye/HarmonyGenerator.ts packages/core/src/services/DyeService.ts | other: apps/web-app/src/components/__tests__/v4-color-wheel.test.ts apps/web-app/src/shared/harmony-icons.ts docs/architecture/dependency-graph.md docs/historical/20251207-DeepDive/CORE_LIBRARY_ANALYSIS.md docs/historical/20251214-CodeAudit/01-CORE-LIBRARY.md 
HarmonyMatchingAlgorithm             prod=3    tests=0    other=0   | prod: packages/core/src/index.ts packages/core/src/services/dye/HarmonyGenerator.ts | other: 
HarmonyOptions                       prod=21   tests=0    other=4   | prod: packages/core/src/index.ts packages/core/src/services/dye/HarmonyGenerator.ts packages/core/src/services/DyeService.ts | other: docs/historical/web-app/20251123-Optimization/03-refactoring-recommendations.md docs/research/api/02-endpoint-catalog.md docs/research/discord-alternatives/06d-bot-logic.md packages/bot-logic/src/commands/harmony.ts 
hasActiveFilters                     prod=2    tests=14   other=8   | prod: packages/core/src/index.ts packages/core/src/services/dye/DyeFilter.ts | other: apps/discord-worker/src/handlers/commands/preferences.ts apps/web-app/src/components/__tests__/swatch-tool.test.ts apps/web-app/src/components/swatch-tool.ts apps/web-app/src/services/harmony-generator.ts apps/web-app/src/shared/__tests__/dye-filter-utils.test.ts 
hexToRgb                             prod=42   tests=149  other=60  | prod: packages/core/src/blending/blending.ts packages/core/src/blending/conversions.ts packages/core/src/services/chara/chara-resolver.ts packages/core/src/services/color/ColorAccessibility.ts packages/core/src/services/color/ColorblindnessSimulator.ts packages/core/src/services/color/ColorConverter.ts packages/core/src/services/color/ColorManipulator.ts packages/core/src/services/color/RybColorMixer.ts packages/core/src/services/ColorService.ts packages/core/src/services/dye/DyeDatabase.ts packages/core/src/services/dye/DyeSearch.ts | other: DEPRECATIONS.md apps/discord-worker/src/handlers/commands/extractor.ts apps/web-app/src/components/__tests__/accessibility-tool.test.ts apps/web-app/src/components/__tests__/budget-tool.test.ts apps/web-app/src/components/__tests__/color-picker-display.test.ts 
HSL                                  prod=39   tests=29   other=47  | prod: packages/core/src/blending/blending.ts packages/core/src/blending/conversions.ts packages/core/src/blending/index.ts packages/core/src/blending/types.ts packages/core/src/services/color/ColorConverter.ts packages/core/src/services/ColorService.ts packages/core/src/services/dye/HarmonyGenerator.ts | other: DEPRECATIONS.md apps/discord-worker/src/commands/schemas.ts apps/stoat-worker/CLAUDE.md apps/web-app/CLAUDE.md apps/web-app/README.md 
hslToRgb                             prod=11   tests=20   other=4   | prod: packages/core/src/blending/blending.ts packages/core/src/blending/conversions.ts packages/core/src/services/color/ColorConverter.ts packages/core/src/services/ColorService.ts | other: DEPRECATIONS.md docs/projects/core/services.md docs/research/color-mixing/color-spaces-research.md docs/research/discord-alternatives/06a-color-blending.md 
HttpError                            prod=5    tests=0    other=0   | prod: packages/core/src/services/APIService.ts | other: 
HUE_MAX                              prod=6    tests=0    other=1   | prod: packages/core/src/constants/index.ts packages/core/src/index.ts packages/core/src/services/color/ColorConverter.ts packages/core/src/utils/index.ts | other: docs/historical/20251214-CodeAudit/01-CORE-LIBRARY.md 
