A11yCardLabels                       prod=3    tests=0    other=0   | prod: packages/svg/src/a11y-card.ts packages/svg/src/index.ts | other: 
MeasuredLead                         prod=3    tests=0    other=1   | prod: packages/svg/src/frame.ts packages/svg/src/index.ts | other: docs/research/monorepo-2.0/3-8-swatch-frame-port-spec.md 
measuredRow                          prod=14   tests=5    other=3   | prod: packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/swatch-card.ts | other: DEPRECATIONS.md docs/research/monorepo-2.0/3-8-swatch-frame-port-spec.md packages/bot-logic/src/index.ts 
MeasuredRowOptions                   prod=3    tests=0    other=1   | prod: packages/svg/src/frame.ts packages/svg/src/index.ts | other: docs/research/monorepo-2.0/3-8-swatch-frame-port-spec.md 
MeasuredRowWidths                    prod=13   tests=0    other=0   | prod: packages/svg/src/frame.ts packages/svg/src/gradient.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/nearest-sheet.ts packages/svg/src/palette-grid.ts packages/svg/src/swatch-card.ts | other: 
MixerCardOptions                     prod=3    tests=0    other=0   | prod: packages/svg/src/index.ts packages/svg/src/mixer-card.ts | other: 
MixerCardRow                         prod=3    tests=0    other=1   | prod: packages/svg/src/index.ts packages/svg/src/mixer-card.ts | other: packages/bot-logic/src/commands/mixer.ts 
NearestDyeInfo                       prod=3    tests=0    other=1   | prod: packages/svg/src/dye-info-card.ts packages/svg/src/index.ts | other: packages/bot-logic/src/commands/dye-info.ts 
NearestSheetLabels                   prod=3    tests=0    other=0   | prod: packages/svg/src/index.ts packages/svg/src/nearest-sheet.ts | other: 
NearestSheetOptions                  prod=3    tests=2    other=0   | prod: packages/svg/src/index.ts packages/svg/src/nearest-sheet.ts | other: 
NearestSheetRow                      prod=3    tests=0    other=1   | prod: packages/svg/src/index.ts packages/svg/src/nearest-sheet.ts | other: packages/bot-logic/src/commands/swatch.ts 
num                                  prod=28   tests=17   other=13  | prod: packages/svg/src/a11y-card.ts packages/svg/src/base.ts packages/svg/src/comparison-card.ts packages/svg/src/contrast-card.ts packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts packages/svg/src/index.ts packages/svg/src/mixer-card.ts packages/svg/src/palette-grid.ts | other: apps/api-worker/src/lib/validation.ts apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/extractor.ts apps/discord-worker/src/handlers/commands/stats.ts apps/web-app/src/components/v4/result-card.ts 
NUMFMT                               prod=4    tests=1    other=0   | prod: packages/svg/src/base.ts packages/svg/src/index.ts | other: 
PaletteBandEntry                     prod=4    tests=0    other=0   | prod: packages/svg/src/index.ts packages/svg/src/palette-grid.ts | other: 
PaletteGridLabels                    prod=3    tests=0    other=0   | prod: packages/svg/src/index.ts packages/svg/src/palette-grid.ts | other: 
PaletteGridOptions                   prod=3    tests=2    other=1   | prod: packages/svg/src/index.ts packages/svg/src/palette-grid.ts | other: docs/specifications/multi-color-extraction.md 
PaletteRowEntry                      prod=3    tests=2    other=0   | prod: packages/svg/src/index.ts packages/svg/src/palette-grid.ts | other: 
panelGlyph                           prod=6    tests=5    other=2   | prod: packages/svg/src/dye-info-card.ts packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts packages/svg/src/random-dyes-grid.ts | other: apps/web-app/src/shared/state-icons.ts apps/web-app/src/shared/ui-icons.ts 
PanelGlyphName                       prod=5    tests=0    other=0   | prod: packages/svg/src/icons/tool-icons.ts packages/svg/src/index.ts | other: 
pillInkOnDye                         prod=5    tests=6    other=0   | prod: packages/svg/src/dye-info-card.ts packages/svg/src/frame.ts | other: 
