__setTestEnvironment                 prod=1    tests=8    other=0   | prod: apps/web-app/src/shared/logger.ts | other: 
ConfigController                     prod=117  tests=82   other=9   | prod: apps/web-app/src/components/accessibility-tool.ts apps/web-app/src/components/advanced-options-panel.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/comparison-tool.ts apps/web-app/src/components/extractor-tool.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/harmony-tool.ts apps/web-app/src/components/market-board.ts apps/web-app/src/components/mixer-tool.ts apps/web-app/src/components/swatch-tool.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/components/v4/preset-detail.ts apps/web-app/src/components/v4/preset-tool.ts apps/web-app/src/services/config-controller.ts apps/web-app/src/services/display-options-helper.ts apps/web-app/src/services/index.ts apps/web-app/src/services/market-board-service.ts apps/web-app/src/services/telemetry-service.ts apps/web-app/src/shared/tool-config-types.ts | other: docs/historical/20260115-v4-uiux-ideas/pre-release-audit/00-EXECUTIVE-SUMMARY.md docs/historical/20260115-v4-uiux-ideas/pre-release-audit/02-CODE-QUALITY-ANALYSIS.md docs/historical/20260115-v4-uiux-ideas/v4-foundation-todo.md docs/projects/web-app/components.md docs/projects/web-app/overview.md 
ConfigKey                            prod=22   tests=3    other=2   | prod: apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/services/config-controller.ts apps/web-app/src/shared/tool-config-types.ts | other: docs/historical/20260115-v4-uiux-ideas/pre-release-audit/02-CODE-QUALITY-ANALYSIS.md docs/projects/web-app/components.md 
ConfigSidebar                        prod=38   tests=16   other=6   | prod: apps/web-app/src/components/accessibility-tool.ts apps/web-app/src/components/advanced-options-panel.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/comparison-tool.ts apps/web-app/src/components/extractor-tool.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/harmony-tool.ts apps/web-app/src/components/market-board.ts apps/web-app/src/components/mixer-tool.ts apps/web-app/src/components/swatch-tool.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/components/v4/toggle-switch-v4.ts apps/web-app/src/components/v4-layout.ts apps/web-app/src/services/config-controller.ts apps/web-app/src/shared/tool-config-types.ts | other: docs/historical/20260115-v4-uiux-ideas/pre-release-audit/02-CODE-QUALITY-ANALYSIS.md docs/historical/20260115-v4-uiux-ideas/v4-component-migration-map.md docs/historical/20260115-v4-uiux-ideas/v4-foundation-todo.md docs/historical/20260115-v4-uiux-ideas/v4-implementation-guide.md docs/historical/20260115-v4-uiux-ideas/v4-testing-checklist.md 
ContextAction                        prod=27   tests=1    other=1   | prod: apps/web-app/src/components/accessibility-tool.ts apps/web-app/src/components/budget-tool.ts apps/web-app/src/components/extractor-tool.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/harmony-tool.ts apps/web-app/src/components/mixer-tool.ts apps/web-app/src/components/swatch-tool.ts apps/web-app/src/components/v4/result-card.ts | other: docs/projects/web-app/components.md 
createCategorySelector               prod=5    tests=8    other=2   | prod: apps/web-app/src/components/preset-category-selector.ts apps/web-app/src/components/preset-edit-form.ts apps/web-app/src/components/preset-submission-form.ts | other: docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md docs/superpowers/specs/2026-08-11-preset-categories-and-image-editing-design.md 
createDyeActionDropdown              prod=1    tests=35   other=0   | prod: apps/web-app/src/components/dye-action-dropdown.ts | other: 
createEmptyState                     prod=3    tests=4    other=4   | prod: apps/web-app/src/components/empty-state.ts apps/web-app/src/components/harmony-tool.ts | other: docs/historical/web-app/20251201-Optimize/03-TYPE-SAFETY.md docs/historical/web-app/20251201-Optimize/04-DESIGN-PATTERNS.md docs/historical/web-app/20251201-Optimize/06-BUNDLE-OPTIMIZATION.md docs/historical/web-app/20260531-Mockups/tools/HarmonyMockup.ts 
createMethodHelp                     prod=3    tests=11   other=0   | prod: apps/web-app/src/components/comparison-tool.ts apps/web-app/src/components/metric-help.ts | other: 
createMetricHelp                     prod=3    tests=9    other=1   | prod: apps/web-app/src/components/accessibility-tool.ts apps/web-app/src/components/metric-help.ts | other: docs/projects/web-app/tools.md 
CUSTOM_DYE_SENTINEL                  prod=5    tests=6    other=0   | prod: apps/web-app/src/shared/custom-dye.ts | other: 
customDyeLabel                       prod=6    tests=3    other=0   | prod: apps/web-app/src/components/comparison-tool.ts apps/web-app/src/components/v4/result-card.ts apps/web-app/src/shared/custom-dye.ts | other: 
DataCenter                           prod=11   tests=0    other=1   | prod: apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/services/world-service.ts apps/web-app/src/shared/types.ts | other: docs/historical/web-app/20251122-DiscordBot/DATA_CENTERS.md 
DEFAULT_DISPLAY_OPTIONS              prod=55   tests=25   other=0   | prod: apps/web-app/src/components/accessibility-tool.ts apps/web-app/src/components/extractor-tool.ts apps/web-app/src/components/gradient-tool.ts apps/web-app/src/components/harmony-tool.ts apps/web-app/src/components/mixer-tool.ts apps/web-app/src/components/swatch-tool.ts apps/web-app/src/components/v4/config-sidebar.ts apps/web-app/src/components/v4/display-options-v4.ts apps/web-app/src/components/v4/preset-tool.ts apps/web-app/src/services/display-options-helper.ts apps/web-app/src/shared/tool-config-types.ts | other: 
