AllowedMentions                      prod=8    tests=0    other=1   | prod: apps/moderation-worker/src/utils/discord-api.ts apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/utils/discord-api.ts 
EnvValidationResult                  prod=2    tests=0    other=3   | prod: apps/moderation-worker/src/utils/env-validation.ts | other: apps/discord-worker/src/utils/env-validation.ts apps/oauth/src/utils/env-validation.ts apps/presets-api/src/utils/env-validation.ts 
ephemeralResponse                    prod=58   tests=9    other=16  | prod: apps/moderation-worker/src/handlers/buttons/ban-confirmation.ts apps/moderation-worker/src/handlers/buttons/index.ts apps/moderation-worker/src/handlers/buttons/preset-moderation.ts apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/index.ts apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/handlers/buttons/index.ts apps/discord-worker/src/handlers/buttons/preview-image.ts apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/changelog.ts apps/discord-worker/src/handlers/commands/preferences.ts 
errorEmbed                           prod=29   tests=5    other=21  | prod: apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/utils/response.ts | other: apps/discord-worker/src/handlers/commands/accessibility.ts apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/comparison.ts apps/discord-worker/src/handlers/commands/contrast.ts apps/discord-worker/src/handlers/commands/dye.ts 
escapeLikePattern                    prod=5    tests=9    other=3   | prod: apps/moderation-worker/src/utils/sql-helpers.ts | other: apps/presets-api/src/services/preset-service.ts docs/historical/20251207-DeepDive/01-SECURITY-FINDINGS.md docs/historical/20251207-DeepDive/04-IMPLEMENTATION-ROADMAP.md 
extractTextInputValue                prod=6    tests=0    other=0   | prod: apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/types/modal.ts | other: 
FollowUpOptions                      prod=3    tests=9    other=2   | prod: apps/moderation-worker/src/utils/discord-api.ts | other: apps/discord-worker/src/utils/discord-api.test.ts apps/discord-worker/src/utils/discord-api.ts 
getActiveBan                         prod=3    tests=15   other=1   | prod: apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/index.ts apps/moderation-worker/src/services/ban-service.ts | other: packages/test-utils/src/cloudflare/d1.ts 
getLocaleInfo                        prod=1    tests=9    other=0   | prod: apps/moderation-worker/src/services/i18n.ts | other: 
getModalUserId                       prod=6    tests=0    other=0   | prod: apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/types/modal.ts | other: 
getModalUsername                     prod=6    tests=0    other=0   | prod: apps/moderation-worker/src/handlers/modals/ban-reason.ts apps/moderation-worker/src/handlers/modals/preset-rejection.ts apps/moderation-worker/src/types/modal.ts | other: 
getModerationHistory                 prod=1    tests=6    other=0   | prod: apps/moderation-worker/src/services/preset-api.ts | other: 
getModerationStats                   prod=2    tests=6    other=0   | prod: apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/services/preset-api.ts | other: 
getPendingPresets                    prod=3    tests=15   other=5   | prod: apps/moderation-worker/src/handlers/commands/preset.ts apps/moderation-worker/src/services/preset-api.ts apps/moderation-worker/src/types/preset.ts | other: apps/presets-api/src/handlers/moderation.ts apps/presets-api/src/services/preset-service.ts apps/presets-api/tests/services/preset-service.test.ts docs/superpowers/plans/2026-08-11-preset-categories-and-image-editing.md docs/superpowers/specs/2026-08-11-preset-categories-and-image-editing-design.md 
