addPresetFavorite                    prod=3    tests=23   other=0   | prod: apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/preset-favorites.ts | other: 
getDyeEmoji                          prod=20   tests=18   other=2   | prod: apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/handlers/commands/comparison.ts apps/discord-worker/src/handlers/commands/dye.ts apps/discord-worker/src/handlers/commands/gradient.ts apps/discord-worker/src/handlers/commands/harmony.ts apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/emoji.ts | other: docs/historical/web-app/20251123-Optimization/03-refactoring-recommendations.md docs/research/discord-alternatives/06d-bot-logic.md 
getFontBuffers                       prod=4    tests=8    other=3   | prod: apps/discord-worker/src/services/fonts.ts apps/discord-worker/src/services/svg/renderer.ts | other: apps/og-worker/CLAUDE.md apps/og-worker/src/services/fonts.ts apps/og-worker/src/services/renderer.ts 
getMyPresets                         prod=2    tests=13   other=2   | prod: apps/discord-worker/src/index.ts apps/discord-worker/src/services/preset-api.ts | other: docs/historical/20251207-PresetRefinements/DISCORD_CHANGES.md docs/historical/20251207-PresetRefinements/PROGRESS.md 
getPreference                        prod=2    tests=5    other=0   | prod: apps/discord-worker/src/services/i18n.ts apps/discord-worker/src/services/preferences.ts | other: 
getPreset                            prod=4    tests=9    other=11  | prod: apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/index.ts apps/discord-worker/src/services/preset-api.ts | other: apps/moderation-worker/src/services/preset-api.test.ts apps/moderation-worker/src/services/preset-api.ts apps/web-app/src/components/v4/preset-tool.ts apps/web-app/src/services/__tests__/community-preset-service.integration.test.ts apps/web-app/src/services/community-preset-service.ts 
getPresetByName                      prod=3    tests=6    other=0   | prod: apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/preset-api.ts | other: 
getPresetFavoriteEntries             prod=6    tests=16   other=0   | prod: apps/discord-worker/src/index.ts apps/discord-worker/src/services/preset-favorites.ts | other: 
getPresetFavorites                   prod=3    tests=9    other=0   | prod: apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/preset-favorites.ts | other: 
getPresets                           prod=5    tests=11   other=16  | prod: apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/preset-api.ts | other: apps/moderation-worker/src/services/preset-api-v2.test.ts apps/moderation-worker/src/services/preset-api.test.ts apps/moderation-worker/src/services/preset-api.ts apps/presets-api/src/handlers/presets.ts apps/presets-api/src/services/preset-service.ts 
getQuickPickById                     prod=5    tests=9    other=0   | prod: apps/discord-worker/src/commands/schemas.ts apps/discord-worker/src/handlers/commands/budget.ts apps/discord-worker/src/services/budget/index.ts apps/discord-worker/src/services/budget/quick-picks.ts | other: 
getRandomPreset                      prod=2    tests=6    other=5   | prod: apps/discord-worker/src/handlers/commands/preset.ts apps/discord-worker/src/services/preset-api.ts | other: apps/web-app/src/services/hybrid-preset-service.ts docs/research/api/02-endpoint-catalog.md docs/specifications/preset-palettes.md packages/core/src/services/PresetService.ts packages/core/src/services/__tests__/PresetService.test.ts 
